Feature,Rounds,Mean Accuracy,Std,95% CI
Differential,2,1.0,0.0,0.0
Differential,3,0.9998000000000001,0.0004216370213557843,0.0002613333333333336
Differential,4,0.5035000000000001,0.01203005495507907,0.0074563053108687135
Differential,5,0.5067,0.01817843655421324,0.01126711170718665
Integral,2,1.0,0.0,0.0
Integral,3,1.0,0.0,0.0
Integral,4,1.0,0.0,0.0
Integral,5,0.49449999999999994,0.0052967495273569054,0.0032829593695661596
Cube,2,1.0,0.0,0.0
Cube,3,1.0,0.0,0.0
Cube,4,1.0,0.0,0.0
Cube,5,0.5066,0.017186558054996887,0.010652339044130698
